anchor,representative,loss,rho,dataset,n_seeds,ndcg_at_5_mean,ndcg_at_5_std,recall_at_1_mean,recall_at_1_std,recall_at_5_mean,recall_at_5_std,recall_at_10_mean,recall_at_10_std,flip_rate_mean,flip_rate_std,reversal_rate_mean,reversal_rate_std,margin_abs_err_mean,margin_abs_err_std,score_abs_err_mean,score_abs_err_std,pos_score_abs_err_mean,pos_score_abs_err_std,ms_per_doc_mean,ms_per_doc_std,peak_mem_mb_mean,peak_mem_mb_std
coverage,learned,score_reconstruction,0.05,tatdqa,3,0.8893,0.0024,0.8112,0.0043,0.9485,0.0009,0.9639,0.0,0.0069,0.0003,0.0034,0.0003,0.6829,0.0273,1.1921,0.0147,1.6216,0.0409,1761.611,10.2806,1336.6,0.0
coverage,learned,score_reconstruction,0.1,arxivqa,3,0.9304,0.0013,0.8978,0.0031,0.96,0.0,0.98,0.0,0.0024,0.0001,0.0017,0.0001,0.4692,0.0088,1.2477,0.0205,1.2806,0.0263,1268.4517,4.4875,1083.4,0.0
coverage,learned,score_reconstruction,0.1,docvqa,3,0.7043,0.0035,0.6289,0.0063,0.7622,0.0063,0.7867,0.0054,0.0364,0.0033,0.0236,0.003,0.4292,0.0196,0.4775,0.0104,0.7538,0.0302,1708.1777,5.953,3152.2,0.0
coverage,learned,score_reconstruction,0.1,flickr,3,0.9171,0.0023,0.8544,0.0068,0.9656,0.0016,0.9833,0.0,0.0014,0.0,0.0012,0.0,0.5351,0.0014,0.951,0.0126,1.2225,0.0094,100.23,0.6997,148.6,0.0
coverage,learned,score_reconstruction,0.1,infovqa,3,0.9304,0.0036,0.8844,0.0031,0.9667,0.0054,0.9689,0.0031,0.0024,0.0004,0.0012,0.0005,0.7755,0.0036,1.0942,0.0137,1.5607,0.0151,1266.254,3.7289,3541.9,0.0
coverage,learned,score_reconstruction,0.1,tabfquad,3,0.9334,0.0012,0.877,0.0056,0.9881,0.0,1.0,0.0,0.006,0.0005,0.0048,0.0005,0.7331,0.0107,1.3125,0.0148,1.8237,0.0194,515.4653,2.1944,129.3,0.0
coverage,learned,score_reconstruction,0.1,tatdqa,3,0.8949,0.0018,0.822,0.0041,0.9505,0.0009,0.9618,0.0,0.0068,0.0001,0.0033,0.0001,0.6309,0.0188,1.0134,0.0126,1.3918,0.0267,1850.6977,6.1176,1343.7,0.0
coverage,response_centroid,none,0.05,arxivqa,3,0.9165,0.0,0.88,0.0,0.9467,0.0,0.9667,0.0,0.0038,0.0,0.003,0.0,0.8162,0.0,1.6151,0.0,2.0759,0.0,1190.4353,7.7891,412.3667,0.0471
coverage,response_centroid,none,0.05,docvqa,3,0.6461,0.0,0.56,0.0,0.72,0.0,0.7733,0.0,0.0633,0.0,0.0352,0.0,1.0157,0.0,0.6033,0.0,1.4962,0.0,1615.8213,4.6281,2844.9,0.0
coverage,response_centroid,none,0.05,flickr,3,0.8024,0.0,0.6867,0.0,0.9033,0.0,0.9367,0.0,0.0078,0.0,0.0074,0.0,1.3776,0.0,1.6369,0.0,2.8385,0.0,68.6537,0.5145,36.2,0.0
coverage,response_centroid,none,0.05,infovqa,3,0.8676,0.0,0.8,0.0,0.9133,0.0,0.9467,0.0,0.0183,0.0,0.0173,0.0,1.6767,0.0,1.366,0.0,2.8921,0.0,1160.9207,2.2506,2858.1,0.0
coverage,response_centroid,none,0.05,tabfquad,3,0.8797,0.0,0.7976,0.0,0.9524,0.0,0.9762,0.0,0.0274,0.0,0.0256,0.0,1.9958,0.0,1.9903,0.0,3.7817,0.0,441.6663,38.0694,97.0,0.0
coverage,response_centroid,none,0.05,tatdqa,3,0.8693,0.0,0.7771,0.0,0.9438,0.0,0.9578,0.0,0.011,0.0,0.0073,0.0,1.1183,0.0,1.2585,0.0,2.1707,0.0,1757.9073,1.9706,1142.3,0.0
coverage,response_centroid,none,0.1,arxivqa,3,0.9194,0.0,0.8867,0.0,0.9533,0.0,0.9733,0.0,0.0034,0.0,0.0028,0.0,0.7058,0.0,1.2989,0.0,1.6497,0.0,1268.2707,2.988,420.6,0.0
coverage,response_centroid,none,0.1,docvqa,3,0.6714,0.0,0.5733,0.0,0.7533,0.0,0.7933,0.0,0.0502,0.0,0.0342,0.0,0.8494,0.0,0.526,0.0,1.2328,0.0,1718.4917,17.5363,2850.7,0.0
